Tanggal WIB	Jam WIB	BTC Open	BTC High	BTC Low	BTC Close	Posisi	Lot BTC	Pending Reverse	Qty Pending	Action	Saldo Realized	Equity MTM
2018-08-14	19:00	6000,98	6159	5986,26	6095,84	LONG	0,00167	5982,98	0,00334	HOLD	99,9955	100,1539
2018-08-14	20:00	6092	6164,52	6086,53	6118,08	LONG	0,00167	5982,98	0,00334	HOLD	99,9955	100,191
2018-08-14	21:00	6119,05	6131,2	6011	6022,73	LONG	0,00167	5982,98	0,00334	HOLD	99,9955	100,0318
2018-08-14	22:00	6022,73	6054,55	5977,5	6025,03	SHORT	0,00167	5997,93	0,00334	REVERSE LONG→SHORT	99,9514	99,8762
2018-08-14	23:00	6025,02	6032	5981	6020,23	LONG	0,00167	5982,92	0,00334	REVERSE SHORT→LONG	99,9075	99,9397
2018-08-15	00:00	6019,98	6080	6014,82	6022,83	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	99,944
2018-08-15	01:00	6026	6055	6015	6040	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	99,9727
2018-08-15	02:00	6040	6115	6040	6073,56	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,0288
2018-08-15	03:00	6073	6102,02	6046,58	6064,96	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,0144
2018-08-15	04:00	6064,91	6130,7	6062,04	6100	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,0729
2018-08-15	05:00	6100	6160	6061,55	6120	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,1063
2018-08-15	06:00	6124,75	6219,44	6103,54	6188,08	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,22
2018-08-15	07:00	6188,08	6258,31	6172,11	6215,25	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,2654
2018-08-15	08:00	6215,72	6231,37	6179,52	6216,16	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,2669
2018-08-15	09:00	6218,75	6295	6203,52	6256,95	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,335
2018-08-15	10:00	6256,95	6297,77	6210,27	6289,99	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,3902
2018-08-15	11:00	6289,98	6374,28	6247,12	6326,32	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,4509
2018-08-15	12:00	6326,32	6338,93	6279	6292,05	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,3936
2018-08-15	13:00	6292,05	6319,89	6283,5	6307,03	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,4187
2018-08-15	14:00	6307,02	6449	6307	6392,77	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5618
2018-08-15	15:00	6391,92	6451,32	6385,01	6428,12	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6209
2018-08-15	16:00	6428,12	6431,99	6305,86	6371,2	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5258
2018-08-15	17:00	6370,26	6387	6266	6296,3	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,4007
2018-08-15	18:00	6293,32	6353	6289,76	6351,69	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,4932
2018-08-15	19:00	6350,54	6409,99	6320	6385,3	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5494
2018-08-15	20:00	6384,86	6410	6328	6331,75	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,4599
2018-08-15	21:00	6330,72	6400	6322	6400	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5739
2018-08-15	22:00	6400	6477,24	6377,26	6434,95	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6323
2018-08-15	23:00	6434,93	6609	6432	6588,04	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,8879
2018-08-16	00:00	6590	6597	6515,65	6562,77	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,8457
2018-08-16	01:00	6562,77	6588,07	6501,01	6525,94	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,7842
2018-08-16	02:00	6526,01	6535	6340	6369,97	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5238
2018-08-16	03:00	6363,16	6381	6300,95	6370,25	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,5242
